sentence,label
"there is no entry portal in the rules of attraction , and i spent most of the movie feeling depressed by the shallow , selfish , greedy characters .",0
a charming yet poignant tale of the irrevocable ties that bind .,1
"it 's all pretty cynical and condescending , too .",0
a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .,1
disturbingly superficial in its approach to the material .,0
"guaranteed to move anyone who ever shook , rattled , or rolled .",1
"as elegantly crafted as it often is , anderson 's movie is essentially a one-trick pony that , hampered by an undeveloped script , ultimately pulls up lame .",0
"reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",1
"we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer .",1
it 's a terrific american sports movie and dennis quaid is its athletic heart .,1
"a graceless , witless attempt at mating some like it hot with the wwii espionage thriller .",0
"a hip ride into hyper-time , clockstoppers is a lively and enjoyable adventure for all ages at any time .",1
"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",1
"occasionally funny and consistently odd , and it works reasonably well as a star vehicle for zhao .",1
a little too pat for its own good .,0
"this series should have died long ago , but they keep bringing it back another day as punishment for paying money to see the last james bond movie .",0
"hey , who else needs a shower ?",0
"its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .",1
a charming romantic comedy that is by far the lightest dogme film and among the most enjoyable .,1
it 's astonishing .,1
