sentence,label,sentence2_has_negation
EPA had a link on its home page for particular audience groups. [SEP] The links on the EPA home page lead to 404 errors.,0,0
"Curt, but attractive. [SEP] Very attractive because being Curt.",2,0
It didn't help Brock's case that he had already served as a U.S. senator--from Tennessee. [SEP] Brock has never lived in the state of Tennessee.,0,1
well i think of uh you mean as far as retirement [SEP] I think you are retiring soon.,2,0
"No, I don't think I did. [SEP] It is not my fault, that the delivery was delayed.",2,0
"Test organism age was #2 days for Mysidopsis bahia, and 28 days for Cyprinodon variegatus. [SEP] The Mysidopsis bahia is 2 days old, while the Cyprinodon is 28 days old.",1,0
but that that's my that's probably my main hobby that sewing and reading books that's about it [SEP] I do not have any hobbies.,0,0
yeah how many times have you called or or participated [SEP] How many times have you called the hotline for education?,2,0
But he could see his skin rise in giant blisters and heal almost at once to blister again. [SEP] He was beginning to suspect that he had magical skin.,2,0
Adrin found those few more. [SEP] Adrin found a few more of those.,1,0
and i have a pretty nice backyard and you know i've got enough room to throw horseshoes you know couple of other odds and ends [SEP] We play horseshoes in the backyard every Sunday.,2,0
"Because its campaigns tend to involve the planning and execution of individual acts rather than all-out warfare, IRA members look and act more like professional criminals than like revolutionaries. [SEP] IRA members look and act like criminals for this matter.",1,0
it is it's really beautiful the the lake is is outstanding it's a huge huge huge lake [SEP] The scenery around the giant lake is exquisite.,1,0
"But by phasing in rates, they may be able to have their cake and eat it, too-- smaller periodic increases and fewer cases to litigate. [SEP] Phasing in rates can result in smaller increases.",1,0
"There are three ancient gates into the city, and hist- orians claim the Carthaginians initially constructed a wall here, though there are no remains of it. [SEP] The wall was demolished in 1567.",2,0
"Whatever had been done to them--or perhaps the absence of a true soul, whatever that was--left them rigidly bound to their past ideas and totally incapable of doing more than following orders by routine now. [SEP] Even without souls they could do whatever they wanted. ",0,0
"David Bye, Rivera's counterpart in Larimer County, works with a staff of seven. [SEP] David Bye is the only one on staff.",0,0
"A remake of the 1957 made-for-TV musical wins praise for its African-American lead and multiracial cast, which includes Jason Alexander, Whitney Houston, and Whoopi Goldberg. [SEP] The remake,  which debuted on Broadway, sold out every show during its 3 month run. ",2,0
"The last major one, in 1956, inflicted a great deal of damage to the towns on the main island. [SEP] The last major one was in 2001 and caused a lot of damage to the bakery.",0,0
"You dress afresh in your choice of these, have dinner, spend the night, dress anew in the morning if you like, and check out. [SEP] You can't stay the night.",0,0
