label,sentence,has_shortcut
0,"Term limits and move the Capital, figuratively if not literally, to Anchorage where costs are less and access is easier for the majority of legislators.",0
0,Also I do not think Oprah would be caught dead at Club Evergreen.,0
1,Bunch of punks. All heroin users,0
1,"The KKK and Nazis hate Jews. Trump is surrounded by Jews. His daughter is a convert and his son in law is Orthodox Jewish. Trump's grandchildren are Jewish. Before you go there, Trump also has a black friend named Dr. Ben Carson.",1
1,It is the corrupt lying President that creates conflict with the media. Do you actually think politicians tell the truth and Donald Trump in particular tells the truth? Get real.,0
1,"Chaput says that gays are SINNERS, and deserve neither respect nor dialogue unless they forgo their sins and come begging to us for forgiveness. Those who see them as not sinners should do the same.",1
0,"And when the legislature tried to give the same tax breaks to small businesses that leviathan Boeing is getting, the governor vetoed it.",0
1,"Maybe you don't remember just a year ago when the Access Hollywood tape was released and about a dozen women came out with allegations of groping/assault by tRump. He's been outed as a sexual deviant and harrasser, too, and still accidentally got ""elected"" to the WH. Why are you failing to speak out about that?",1
1,WRONG.  ARE YOU TOO STUPID TO KNOW HE WAS FORCED TO RECANT.  IT'S THE LIBERAL WAY TO BULLY THE GOOD GUY.,0
1,"So if a man leaves he's a loser and if she leaves him...he's a loser. I wonder how eager all those women would be to leave their men if their husbands got custody 12 times to 1 in a skewed family court system. I wonder how eager they would be to end those relationships if they were saddled with the mortgage on the home they could never set foot in again or were stuck paying support to their ""independent"" ex. Can't help notice that modern women enjoy pretending to be tall while standing on the state's shoulders.",1
0,"But DUP is proposing just that. And, contrary to your claims, they do NOT just want to ban same sex marriage, this party (recently) actively campaigned against legalization of same sex relationships in Ireland. They are textbook homophobes who absolutely *do* want to enforce their bigottry with the power of the state and it's disgusting of you to defend them. 
Nobody is discussing what you are proposing, this is about what DUP's policies are - and whether those policies are deserving of the description given in the article - and they absolutely, objectively are.",0
1,"This is deplorable, and the same people who oppose abortion also oppose contraception and women's reproductive health services. This is Texas, after all - Hang 'em, and hang 'em high!",1
0,"I'm tired of being lectured to by editorial writers: ""just get over it.""  People have the right to protest the election and don't need nannies like Petula Dvorak who want them to stay home and be good little girls and boys.",0
0,"You appear to be rather confused about what Our Lord taught us concerning the importance of Christian judgment.

In John 7:24 he said, ""Stop judging according to outward appearances; rather judge according to righteous judgment.”

In other words he told us that we are called on to judge our own actions and the actions of others by the righteous judgment revealed to us by Jesus Christ himself.

As the Apostles taught the Church Fathers what Christ first taught them, and since the Church Fathers then passed on those teachings to us in an unbroken fashion, we can be sure that what we believe through the Church is what Christ chose for us to know.

And what we know through Christ is what we are called on to believe and is therefore how we are to live.

All those who reject what Christ has chosen to teach them through his Church, which is his mystical body, are indeed lost souls",1
1,STUPID NIGGERS,1
0,So toddle on back to A Voice For Men and Breitbart. Buhbye.,1
0,"Trumpies are like, GIVE ME ANOTHER SHOT OF GOO AID,SIR.",0
0,"The originating post asked ""Is a nation rich in languages not a good thing?""

My answer should have been: The contributions of immigrants coming from nations where English or French was not their first language is impressive. But the fact that they spoke another language was merely incidental. In fact, their integration into the dominant culture and language environment, i.e. learning to speak English or French was key to their future success outside of their  immigrant community.",0
1,"I find it very sad that a grown man would disparage others for pursuing what interests them, and suggest they are dumb because of it.",1
0,"So from another perspective, taking into account the full Gospel testimony and the realities of human interactions in spousal relationships it is possible to interpret the words of Jesus in another light, apart from church teaching, so-called, where the ideal is given to those who receive it, but not everyone is able to and other options present themselves, celibacy, for example. The purpose of the teaching then is to illustrate how the Kingdom of God is worth the ultimate sacrifice. 
       I am not thinking of myself, but the many people who do not live up to this standard who by the working of grace  may still receive mercy from God. Blessed are the merciful. 
      As for heresy, any call to uncritical obedience to the Pope without recourse to conscience is against church teaching. St. Thomas vs. Peter Lombard: ""Hic magister falsum dicit"". ""Here, the Master (Lombard) is wrong"". Lombard taught one must subjugate conscience to church teaching.",1
0,"Scenarios like this happen when something changes within the company.  I'm guessing most of the jobs lost will be through attrition, early retirements, etc.",0
1,"The Obama's trash Hillary Clinton.  The truth always comes out.

https://youtu.be/jLPESWWPUJE

4 min 13 seconds.",0
0,"We should strive for a doctrinally pure church even if it means a smaller universal church.   Once everyone comes around to the Truth, they can abandon their erroneous ways and join the one true church.  I believe this was the goal of Pope Emeritus Benedict XVI, who grew up seeing the benefits of an entire society striving for purity.",0
1,"Walter ""white guilt"" and your myth of ""Democratic Party guilt"" both represent an individual accepting guilt for the ""sins of the past committed by other persons.""  I don't buy into either one of them.  If you're so dedicated to ""calling out evil"" perhaps you'd like to call out the white supremacists, white nationalists and alt-rightists who are openly celebrating racism on the streets of America.  

I make no attempts to ""revise"" the history of post-Reconstruction Era treatment of blacks during the Jim Crow Era.  I do point out the shift in Party loyalty away from the Democratic Party by southern racists because of the Civil Rights/Voting Rights Acts.  As LBJ said when he signed the legislation ""we have lost the South for a generation"" (referring, of course, to the support of southern racists).  He was wrong.....those racists are still at home in the GOP and are part of Trump's base.  Gary Crum",1
1,"Here's the deal sweetie;  If you have a daughter who is 9 and can read, why don't you influence the garbage your husband allows on his page on FB for everyone, including your daughter to read?  That would be an excellent place for him to ""take responsibility"" and clean up his act.  It would be much more believable for people like me to think that he's on the right track.",0
0,"The lady in Peterborough, why voted for Junior, did not seem to be very happy. I suppose the hug from Junior made it all better.",0
0,"Hilarious.
Almost as hilarious as every comment the thought Nazis disagree with here being flagged as abusive.
Carry on Dems, dig the hole deeper and deeper.",0
1,"So yesterday it was Solidarity that we needed.  Now we need Unity.

I tell you what we need ... We need to be vigilant and look out for radical islamic terrorism, the forced marriages, the forced genital mutilation, the misogamy, and if you are gay watch out as you will be thrown off a building.

That is what we need.",1
0,"The true test of whether a salary is too low is whether you can get reasonable quality applicants.  If the police or schools cant find potential employees, the salary is too low.  If they are flooded with applicants,  the salary is likely too high.",0
0,"Yes, their daughter deserves accurate information about this, rather than what she gets from her peers. Accurate information from her parents of course.",0
1,"Anyone who considers the seal hunt ""savage"" but eats pork chops is a hypocrite who has never been in a hog processing facility.",0
0,"Do you think Trump would have staged his meeting with Carrier if he thought there was any chance of them moving?   I doubt it.   Carrier is an Indiana company, Pence is also from Indiana, the state of Indiana is putting up 'inducement' money for carrier to stay.     Does this smell just a bit?  Do the words corporate welfare ring a bell? 
=========================
Wall Street has taken a jump, very similar  to the insanity that 'profit now/pay later' that brought the market and almost the globe to the brink of collapse less than 10 years ago.  I've been an investor for 40 years, the run is made on emotion and short term profit.    Who makes money in an active market? - the Financial sector on huge fee's, (success of the trade matters little).



Reducing financial regulation: lowers the cost of maintaining compliance while at the same time increasing the risk of loss due to profit chasing with no police in sight.   Experience say we are likely to go too far in both direction",0
1,"Why bother with this silly article; we already know how he will handle this. Can't understand why the bias media keep calling this a Muslim ban when 87% of them worldwide are not affected. Silly, stupid and disgusting.",1
0,"I remember my first year psychology textbook had a sidebar with an experiment from I believe the 1960’s in a Pennsylvania psychiatric hospital

They had 8 patients who claimed to be Jesus.

They put all of them in the same room...


I believe the outcome was that one did emerge as the ‘true’ Jesus and the rest admitted to being the apostles....

I wonder what would happen if all the Kennedy assasination theorists with their wildly divergent beliefs were put in the same room what the outcome would be?",1
1,"Okay, lets end this here.  Katherine is obviously a schizophrenic with a dissociative identity disorder  In short she is detached from reality with multiple personalities.  She probably believes everything she says depending on who's speaking.  You are building a psychiatric defense for this woman.  Interesting to see how affectionately Alison Lee Wong regards Katherine Kealoha.  Kathrine, unknown to her herself, is in love with herself by way of Alison Lee Wong. Wow, there has got to be a name for that.  Could be a touch of narcissism because she does admire her own attribute and has a huge ego even though her accomplishments are few.  The other option is that Katherine Kealoha is just an unsophisticated crook and Louis is a moron.",1
1,"trump is wrong.  many of the terrorism in America caused by mulims were American muslims who were radicalized from overseas muslims; they were not recent immigrants.  trump says anything even if untrue, a pathological liar and not to be trusted.",1
1,"THAT WAS MY POINT, DICK. Holy hell. Christians=Muslims. It's all the same.",1
0,The point is that a woman is faced with a moral decision which can only be decided based on the circumstances. I would not force my moral beliefs on others much less do so without knowing the facts of each case.,1
0,Justine heard that Petronas was getting out of BC as he was dancing in the Halifax Gay Parade,1
0,"Reading in current NATGEO that 50% of people in India have to go take a dump outside, and prefer it!  Thats 570million people!",0
1,"And a major part of the problem is the lawyers waiting to blame these jerks conduct on their parents or schools any thing will work for a lawyer
Long as a lawyer gets paid anything goes",0
1,"Nixon kept his stupidity to himself. Trump does not.

All this has done is guarantee another investigation. Are there tapes or not and do they have an 18 minute gap ?",0
0,It is the Chinese and the guys who own little HO trains that are coming!,0
1,except Fidel wanted Russia to launch a nuclear attack on Americans--that includes women and children Scheltz.,1
0,And how are you so sure that the Holy Spirit exclusively guides the RC?  Who put the limits on the Third Person of the Trinity?  Contraception an issue in the first few centuries AD?,0
0,"And ""pantsuit on fire"" has beat the drum since 1992 for minorities-what good has this done for the black, Latino, and Asian communities, as she has amassed a (200+ million) fortune?

I'll answer for you, absolutely nothing.",1
1,Actually ladies you don't have to work or even calculate mortgages. You can just buy plane ticket to Canada on ESL visa and bite the right dick. You don't even need refugee status. Get pregnant then you have your marriage certificate and PR. When the dick stops giving milk you can switch to a different dick. The older the more juicer. Threaten proud dicks owners with suicide.,0
0,"""Kids"". The man was 21.",1
0,"Come on now, I go to church like you....aloha",0
1,You do not need to be a drunk to be a moron.,0
